cohort,predictor,pathway,family,analysis,n,partial_rho,p_value,hc3_beta,hc3_se,hc3_p_value,fdr_bh,hc3_fdr_bh
GSE176078,ARL11_prevalence_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,25,0.03263114841458453,0.8769446189975927,-0.10035056385182459,0.3764270702267277,0.7897871650237451,0.9167374302360471,0.9345854433303362
GSE176078,ARL11_prevalence_residual,dysfunction_tolerization,secondary,drop_signature_overlap,25,-0.02203446686605532,0.9167374302360471,-0.1959900039775115,0.1546202763171102,0.20495621821463283,0.9167374302360471,0.9345854433303362
GSE176078,high_cluster_logit_residual,lipid_metabolism,primary,drop_signature_overlap,25,0.5162846046362888,0.008239729823822073,0.6231533109067638,0.1250969580263248,6.313809912673182e-07,0.026636459410991707,3.156904956336591e-06
GSE176078,high_cluster_logit_residual,phagolysosome,primary,drop_signature_overlap,25,0.3685042248319628,0.06989543484648879,0.4453634292326045,0.11465063236458402,0.0001025294746832231,0.11649239141081465,0.00025632368670805775
GSE176078,high_cluster_logit_residual,ECM_remodelling,primary,drop_signature_overlap,25,0.5014662976377161,0.010654583764396684,0.5177087097121391,0.14388755444452347,0.0003206625781779649,0.026636459410991707,0.0005344376302966082
GSE176078,high_cluster_logit_residual,T_cell_exclusion_like,primary,drop_signature_overlap,25,0.2609296373254535,0.20773546211407926,0.35663191163533525,0.11888428178251925,0.002701357237641217,0.2596693276425991,0.0033766965470515215
GSE176078,high_cluster_logit_residual,antigen_presentation,primary,drop_signature_overlap,25,-0.03298686804917604,0.8756133022564664,-0.16910355232515892,0.1543224004917565,0.27317463092858996,0.8756133022564663,0.27317463092858996
GSE176078,high_cluster_logit_residual,efferocytosis,secondary,drop_signature_overlap,25,-0.03472909242845475,0.869097658823881,0.16222709672353827,0.1984348762312391,0.41362379193139887,0.869097658823881,0.6467559448611975
GSE176078,high_cluster_logit_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,25,-0.2723963520105137,0.1877286682708666,-0.2518525404762128,0.16993578130607465,0.13832821919935226,0.46932167067716646,0.34582054799838063
GSE176078,high_cluster_logit_residual,p38_stress_response,secondary,drop_signature_overlap,25,-0.11613113626720886,0.5803973422205209,-0.15070727448358637,0.23280609468241747,0.517404755888958,0.869097658823881,0.6467559448611975
GSE176078,high_cluster_logit_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,25,-0.058256893180161126,0.7820822142033951,0.02099965712249079,0.21893538069413587,0.923586375928918,0.869097658823881,0.9235863759289181
