predictor,pathway,family,cohorts_n,meta_partial_rho,ci_low,ci_high,p_value,tau2_DL,Q,Q_df,Q_p_value,I2_percent,direction_concordant,fdr_bh
high_cluster_logit_residual,lipid_metabolism,primary,2,0.3173607194795772,-0.13112714725953795,0.6580154369583475,0.16188021709522504,0.06860063577853552,2.63498181938843,1,0.10453325780630683,62.04907401478403,True,0.39361631889331106
high_cluster_logit_residual,T_cell_exclusion_like,primary,2,0.15354501086031208,-0.12743594584364906,0.41171180366329574,0.2835981798488837,0.0,0.5125469364225397,1,0.47403838052874847,0.0,True,0.39361631889331106
high_cluster_logit_residual,ECM_remodelling,primary,2,0.2664674711790514,-0.2537981469652785,0.6671464919291574,0.3148930551146488,0.10576301624661207,3.5206852205442543,1,0.060607385495533066,71.59643826818996,True,0.39361631889331106
high_cluster_logit_residual,antigen_presentation,primary,2,-0.11127657104011414,-0.37535423001675255,0.16951019487809638,0.43884053876485773,0.0,0.25181786403391393,1,0.6157979622738665,0.0,True,0.4388405387648577
high_cluster_logit_residual,dysfunction_tolerization,secondary,2,0.19562756318346167,-0.08451747701190705,0.44711107198041244,0.1697382047018431,0.0,0.6222929688694072,1,0.4301964785801641,0.0,True,0.7906563404806857
high_cluster_logit_residual,efferocytosis,secondary,2,0.14426883185877246,-0.1846237141558966,0.44410294645383164,0.3911310645802928,0.01565511050810644,1.3731134671098701,1,0.2412776664917984,27.17280662137846,False,0.7906563404806857
high_cluster_logit_residual,p38_stress_response,secondary,2,0.24221800671436505,-0.42704802903565375,0.7400268485156368,0.4910705895941557,0.2156827151220577,6.140438043742375,1,0.013212457902246871,83.7145168980398,False,0.7906563404806857
high_cluster_logit_residual,STING_typeI_IFN_response,secondary,2,0.05189377418642605,-0.22694024694960024,0.3228648533072634,0.7189564150047718,0.0,0.493802241678144,1,0.48223609635091336,0.0,False,0.7906563404806857
high_cluster_logit_residual,MAPK_ERK_immediate_early,secondary,2,0.09896692688128651,-0.5606808018933973,0.6817676611081929,0.7906563404806857,0.2378968227733343,6.669874276097801,1,0.009805610531234823,85.00721365043408,False,0.7906563404806857
state_residual,lipid_metabolism,primary,2,0.7093521230450242,0.5391645281833838,0.8238807513911707,8.380541804685118e-10,0.0,0.424928259480405,1,0.5144881261223624,0.0,True,4.190270902342559e-09
state_residual,phagolysosome,primary,2,0.646895420084679,0.4518638400217595,0.7829092443858128,9.590800233539742e-08,0.0,0.9446390837745273,1,0.3310876367768338,0.0,True,2.3977000583849353e-07
state_residual,T_cell_exclusion_like,primary,2,0.4093223206582085,0.1507377439387936,0.6154816831787514,0.0025922400330997764,0.0,0.002714952350594921,1,0.958444865898528,0.0,True,0.004320400055166294
state_residual,ECM_remodelling,primary,2,0.6034996007574025,0.09232084969469573,0.8629236694866607,0.023857021202376885,0.14932579911639898,4.558931545607509,1,0.032747497087651824,78.06503585333516,True,0.029821276502971106
state_residual,antigen_presentation,primary,2,0.04997088454221048,-0.22876804636223086,0.3211368551689239,0.7289692028097595,0.0,0.08101930329913339,1,0.775920805702356,0.0,True,0.7289692028097595
state_residual,dysfunction_tolerization,secondary,2,0.5475852674794927,0.3203384948090442,0.7152384093611015,2.0412384323409794e-05,0.0,0.06189044232665577,1,0.8035325888680132,0.0,True,0.00010206192161704898
state_residual,p38_stress_response,secondary,2,-0.23052527714981486,-0.475880980983617,0.04812028445632909,0.1038741141421909,0.0,0.6792484160403409,1,0.4098456495194357,0.0,True,0.19038576128290863
state_residual,STING_typeI_IFN_response,secondary,2,0.20655162327014753,-0.07320385234896896,0.4561732362277061,0.14652386023111813,0.0,0.3641462655243643,1,0.5462124746712032,0.0,True,0.19038576128290863
state_residual,MAPK_ERK_immediate_early,secondary,2,-0.2931965567947912,-0.6142138358623782,0.11107999850147683,0.1523086090263269,0.047238315415583,2.125846517404728,1,0.14483274325770656,52.95991541191704,True,0.19038576128290863
